Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
60,1.00941,0,80.6482,-0,1.67532e-07,0,0,0,0,0,0,0.000150079,-0.0021613,0,0.0021665,32.2593,1.02646,0.000146652,-0.00102535,0,0.00103579,1.00669,0,0,0,0,0.828171
61,1.00936,0,80.6566,-0,1.67552e-07,0,0,0,0,0,0,7.18033e-05,-0.00149738,0,0.0014991,32.2626,1.03322,5.31621e-05,-0.000535748,0,0.00053838,1.00685,0,0,0,0,0.635658
62,1.00933,0,80.6656,-0,1.6757e-07,0,0,0,0,0,0,2.72128e-05,-0.000923102,0,0.000923503,32.2663,1.04045,1.521e-05,-0.000246648,0,0.000247117,1.00699,0,0,0,0,0.461041
63,1.00929,0,80.6727,-0,1.67587e-07,0,0,0,0,0,0,5.81861e-06,-0.000427359,0,0.000427399,32.2691,1.04613,2.48129e-06,-8.41696e-05,0,8.42062e-05,1.00712,0,0,0,0,0.28974
64,1.00927,0,80.6762,-0,1.67596e-07,0,0,0,0,0,0,0,0,0,0,32.2705,1.04893,-3.38813e-21,-1.32338e-08,0,1.32338e-08,1.00719,0,0,0,0,0.00391254
65,1.00929,0,80.6727,-0,1.67587e-07,0,0,0,0,0,0,5.81861e-06,0.000427359,0,0.000427399,32.2691,1.04613,2.48051e-06,8.41431e-05,0,8.41797e-05,1.00712,0,0,0,0,0.289694
66,1.00933,0,80.6656,-0,1.6757e-07,0,0,0,0,0,0,2.72128e-05,0.000923102,0,0.000923503,32.2663,1.04045,1.52081e-05,0.000246616,0,0.000247085,1.00699,0,0,0,0,0.461011
67,1.00936,0,80.6566,-0,1.67552e-07,0,0,0,0,0,0,7.18033e-05,0.00149738,0,0.0014991,32.2626,1.03322,5.3158e-05,0.000535707,0,0.000538338,1.00685,0,0,0,0,0.635633
68,1.00941,0,80.6482,-0,1.67532e-07,0,0,0,0,0,0,0.000150079,0.0021613,0,0.0021665,32.2593,1.02646,0.000146645,0.0010253,0,0.00103574,1.00669,0,0,0,0,0.82815
69,1.00917,0,80.6172,-0,1.67513e-07,0,0,0,0,0,0,0.000276236,0.00292672,0,0.00293973,32.2469,1.00173,0.000336224,0.00173299,0,0.00176531,1.00655,0,0,0,0,1.0209
70,1.00855,0,80.5595,-0,1.675e-07,0,0,0,0,0,0,0.000469128,0.00380577,0,0.00383458,32.2238,0.955507,0.000636132,0.00251205,0,0.00259134,1.00644,0,0,0,0,1.1738
71,1.00767,0,80.4894,-0,1.67501e-07,0,0,0,0,0,0,0.000753189,0.00481018,0,0.00486879,32.1958,0.899455,0.00104098,0.00323507,0,0.00339842,1.00645,0,0,0,0,1.28174
72,1.00651,0,80.3984,-0,1.67503e-07,0,0,0,0,0,0,0.00115919,0.0059503,0,0.00606216,32.1594,0.826642,0.0015345,0.00382885,0,0.0041249,1.00647,0,0,0,0,1.35265
73,1.00508,0,80.2866,-0,1.67506e-07,0,0,0,0,0,0,0.00172462,0.00723408,0,0.00743681,32.1146,0.737211,0.00207104,0.0042154,0,0.00469668,1.00649,0,0,0,0,1.3885
74,1.00336,0,80.1561,-0,1.67518e-07,0,0,0,0,0,0,0.00249343,0.00866602,0,0.0090176,32.0624,0.632828,0.00262014,0.00440808,0,0.00512799,1.00658,0,0,0,0,1.40118
75,1.00148,0,80.0099,-0,1.67524e-07,0,0,0,0,0,0,0.00351532,0.0102467,0,0.0108329,32.004,0.515857,0.00310004,0.00436015,0,0.00534987,1.00663,0,0,0,0,1.38734
76,0.999587,0,79.8598,-0,1.67526e-07,0,0,0,0,0,0,0.00484455,0.0119728,0,0.0129158,31.9439,0.395753,0.00356187,0.00423025,0,0.00553009,1.00665,0,0,0,0,1.37206
77,0.997479,0,79.6847,-0,1.67516e-07,0,0,0,0,0,0,0.00653926,0.0138381,0,0.0153054,31.8739,0.255723,0.0039335,0.00397995,0,0.00559575,1.00657,0,0,0,0,1.34673
78,0.995781,0,79.5412,-0,1.67503e-07,0,0,0,0,0,0,0.00866098,0.0158343,0,0.0180482,31.8165,0.140911,0.00422424,0.00367001,0,0.00559582,1.00647,0,0,0,0,1.31811
79,0.994342,0,79.4125,-0,1.6748e-07,0,0,0,0,0,0,0.0112752,0.0179526,0,0.0211997,31.765,0.0379198,0.00451727,0.00339285,0,0.00564952,1.00629,0,0,0,0,1.29982
80,0.993144,0,79.2981,-0,1.67449e-07,0,0,0,0,0,0,0.0144522,0.020184,0,0.0248246,31.7193,-0.0535496,0.00480423,0.00313743,0,0.00573796,1.00605,0,0,0,0,1.28874
81,0.992235,0,79.2004,-0,1.67408e-07,0,0,0,0,0,0,0.0182689,0.0225199,0,0.0289982,31.6802,-0.131709,0.00507458,0.00289497,0,0.00584228,1.00573,0,0,0,0,1.28219
82,0.991555,0,79.1191,-0,1.67364e-07,0,0,0,0,0,0,0.0228094,0.0249517,0,0.0338062,31.6476,-0.196818,0.00529953,0.00265043,0,0.00592535,1.00539,0,0,0,0,1.27564
83,0.991031,0,79.0517,-0,1.67322e-07,0,0,0,0,0,0,0.0281672,0.0274703,0,0.0393448,31.6207,-0.25071,0.00545119,0.00239575,0,0.00595441,1.00507,0,0,0,0,1.26535
84,0.990639,0,78.9972,-0,1.67284e-07,0,0,0,0,0,0,0.0344451,0.0300655,0,0.0457209,31.5989,-0.294292,0.00552779,0.00213746,0,0.00592666,1.00477,0,0,0,0,1.25094
85,0.990361,0,78.9537,-0,1.67249e-07,0,0,0,0,0,0,0.0417559,0.0327247,0,0.0530515,31.5815,-0.329099,0.00554948,0.00188784,0,0.0058618,1.0045,0,0,0,0,1.23433
86,0.99018,0,78.9193,-0,1.67216e-07,0,0,0,0,0,0,0.0502224,0.0354327,0,0.0614635,31.5677,-0.35661,0.00552945,0.00165247,0,0.00577109,1.00424,0,0,0,0,1.21648
87,0.990071,0,78.8925,-0,1.67186e-07,0,0,0,0,0,0,0.0599767,0.03817,0,0.0710925,31.557,-0.378047,0.00547662,0.00143351,0,0.00566112,1.00401,0,0,0,0,1.19784
88,0.990036,0,78.8734,-0,1.67159e-07,0,0,0,0,0,0,0.0711583,0.0409126,0,0.0820814,31.5494,-0.39336,0.00540149,0.00123239,0,0.0055403,1.00381,0,0,0,0,1.17909
89,0.990054,0,78.8598,-0,1.67134e-07,0,0,0,0,0,0,0.0839123,0.0436311,0,0.0945777,31.5439,-0.404209,0.00531258,0.00104917,0,0.00541519,1.00362,0,0,0,0,1.16074
90,0.990118,0,78.8514,-0,1.67112e-07,0,0,0,0,0,0,0.0983855,0.0462897,0,0.108731,31.5406,-0.410944,0.00521403,0.000882646,0,0.00528822,1.00344,0,0,0,0,1.14287
91,0.990216,0,78.8479,-0,1.67094e-07,0,0,0,0,0,0,0.114722,0.0488466,0,0.124688,31.5391,-0.413776,0.0051095,0.000731581,0,0.00516161,1.0033,0,0,0,0,1.1256
92,0.990348,0,78.8483,-0,1.67077e-07,0,0,0,0,0,0,0.133057,0.051254,0,0.142588,31.5393,-0.413434,0.00500118,0.00059465,0,0.00503641,1.00317,0,0,0,0,1.10893
93,0.990505,0,78.8529,-0,1.67064e-07,0,0,0,0,0,0,0.153511,0.0534588,0,0.162553,31.5411,-0.40977,0.00488998,0.000470598,0,0.00491257,1.00307,0,0,0,0,1.09275
94,0.990693,0,78.8619,-0,1.67054e-07,0,0,0,0,0,0,0.17618,0.055404,0,0.184686,31.5447,-0.40257,0.00477867,0.000358575,0,0.0047921,1.00299,0,0,0,0,1.07723
95,0.990907,0,78.8745,-0,1.67047e-07,0,0,0,0,0,0,0.201125,0.0570315,0,0.209054,31.5498,-0.392488,0.00466897,0.000257728,0,0.00467608,1.00294,0,0,0,0,1.06243
96,0.991141,0,78.8903,-0,1.67042e-07,0,0,0,0,0,0,0.228367,0.0582847,0,0.235687,31.5561,-0.379848,0.00456185,0.000167278,0,0.00456491,1.0029,0,0,0,0,1.04834
97,0.991392,0,78.909,-0,1.6704e-07,0,0,0,0,0,0,0.257873,0.0591124,0,0.264562,31.5636,-0.364889,0.00445914,8.65723e-05,0,0.00445998,1.00289,0,0,0,0,1.0351
98,0.991653,0,78.9301,-0,1.67041e-07,0,0,0,0,0,0,0.289554,0.0594727,0,0.295599,31.5721,-0.347954,0.0043594,1.49455e-05,0,0.00435942,1.00289,0,0,0,0,1.02247
99,0.991941,0,78.9554,-0,1.67045e-07,0,0,0,0,0,0,0.323253,0.0593366,0,0.328654,31.5822,-0.327747,0.00426408,-4.81403e-05,0,0.00426435,1.00292,0,0,0,0,1.01056
100,0.992224,0,78.9807,-0,1.67049e-07,0,0,0,0,0,0,0.358747,0.0586915,0,0.363516,31.5923,-0.307485,0.00417204,-0.000103225,0,0.00417332,1.00296,0,0,0,0,0.999192
101,0.992513,0,79.0077,-0,1.67056e-07,0,0,0,0,0,0,0.395749,0.0575429,0,0.39991,31.6031,-0.285933,0.00408619,-0.000150959,0,0.00408897,1.00301,0,0,0,0,0.988676
