"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         259,      -6.230672926,      -4.404670943,       -4.55005382,      -4.107233559,      -7.101692057
          0,           0,         260,      -6.235359022,      -4.407672144,      -4.552841491,       -4.11442402,      -7.103559199
          0,           0,         261,      -6.240010109,      -4.410724684,      -4.555779524,      -4.121648495,      -7.105444296
          0,           0,         262,      -6.244739819,      -4.413828969,      -4.558872338,      -4.129005586,      -7.107427119
          0,           0,         263,      -6.249592814,      -4.416979081,      -4.562126321,      -4.136511155,      -7.109452044
          0,           0,         264,      -6.254555656,      -4.420168254,      -4.565545303,      -4.144146835,       -7.11130214
          0,           0,         265,      -6.259642851,      -4.423388957,      -4.569129443,       -4.15192347,      -7.113265041
          0,           0,         266,      -6.264854088,      -4.426633904,      -4.572877761,      -4.159844048,      -7.115568126
          0,           0,         267,      -6.270019369,      -4.429888885,       -4.57679631,      -4.167756889,       -7.11837782
          0,           0,         268,      -6.275442168,      -4.433146098,      -4.580867284,      -4.175885529,      -7.121597803
          0,           0,         269,      -6.280818882,       -4.43639467,       -4.58509253,      -4.183969382,      -7.124152785
          0,           0,         270,      -6.286250288,       -4.43962709,      -4.589465116,      -4.192064135,      -7.126573235
          0,           0,         271,      -6.291625177,      -4.442836232,      -4.593985656,      -4.200056456,      -7.129232953
          0,           0,         272,      -6.297328148,      -4.445999953,      -4.598608701,      -4.208260047,      -7.132304075
          0,           0,         273,       -6.30263195,      -4.449115808,      -4.603388373,      -4.216002496,      -7.135796197
          0,           0,         274,      -6.308142469,       -4.45221522,      -4.608268406,      -4.223738421,      -7.139929916
          0,           0,         275,      -6.314185395,      -4.455253547,      -4.613261373,      -4.231912035,       -7.14467214
          0,           0,         276,      -6.320107278,      -4.458222461,      -4.618356495,      -4.239824238,      -7.149869253
          0,           0,         277,      -6.325990722,      -4.461112299,      -4.623536922,      -4.247468471,       -7.15455594
