"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         203,       -4.82567952,      -5.019588304,      -5.380382045,      -4.198894106,       -6.69418492
          0,           0,         204,      -4.832516066,      -5.036598017,       -5.39453804,       -4.20534114,      -6.695506973
          0,           0,         205,      -4.841765238,      -5.032151521,       -5.40996074,      -4.214380934,      -6.696697836
          0,           0,         206,      -4.858997936,      -5.037604882,      -5.430292325,      -4.231155635,      -6.697778506
          0,           0,         207,      -4.880871652,      -5.057693063,      -5.449164007,      -4.252928981,      -6.698765914
          0,           0,         208,      -4.900503731,      -5.076421543,      -5.468178309,      -4.273041178,      -6.699674998
          0,           0,         209,      -4.920775431,      -5.080300848,      -5.486248366,      -4.293710094,      -6.700524636
          0,           0,         210,      -4.945453529,      -5.079985263,       -5.50198171,      -4.318458558,      -6.701358591
          0,           0,         211,      -4.975191827,      -5.085873159,      -5.516881116,       -4.34842591,      -6.702224258
          0,           0,         212,      -5.005877257,      -5.097527386,      -5.532394061,      -4.379680095,      -6.703162225
          0,           0,         213,      -5.034892444,      -5.111227815,      -5.548389541,      -4.409396041,      -6.704207546
          0,           0,         214,        -5.0616992,      -5.123860306,      -5.566600556,      -4.436965947,      -6.705394656
          0,           0,         215,      -5.087281171,      -5.134313207,      -5.586925287,      -4.463259152,       -6.70674179
          0,           0,         216,      -5.112221361,      -5.142844114,      -5.606846163,      -4.488760601,      -6.708262617
          0,           0,         217,      -5.136713159,       -5.15002303,      -5.624197188,      -4.513673547,      -6.709947649
          0,           0,         218,      -5.161618491,      -5.157065882,      -5.639201936,       -4.53886767,       -6.71179127
          0,           0,         219,      -5.185192416,      -5.164253747,      -5.651316931,      -4.562672261,       -6.71378006
          0,           0,         220,       -5.20872822,       -5.17150836,      -5.661599209,       -4.58649992,      -6.715878226
          0,           0,         221,      -5.232940017,      -5.179392094,      -5.673157768,      -4.610891419,      -6.718014019
          0,           0,         222,      -5.256579819,      -5.187546846,      -5.685707006,      -4.634792084,      -6.720179508
          0,           0,         223,      -5.281297467,      -5.195891813,      -5.700500561,      -4.659977348,      -6.722477984
          0,           0,         224,      -5.306925693,      -5.204087277,      -5.716854694,      -4.686264032,      -6.724839031
          0,           0,         225,       -5.33163355,      -5.211787266,      -5.733534643,       -4.71198349,       -6.72720161
          0,           0,         226,      -5.356924644,      -5.218935838,      -5.751995856,      -4.738656686,      -6.729535073
          0,           0,         227,      -5.381820464,      -5.225427503,      -5.773254368,       -4.76538766,      -6.731816682
          0,           0,         228,      -5.405073814,      -5.231200848,      -5.796500431,      -4.790808319,      -6.734042948
          0,           0,         229,       -5.42615206,      -5.236314372,      -5.820598537,      -4.814331638,      -6.736215362
          0,           0,         230,      -5.443611593,      -5.240828132,      -5.845432103,      -4.834432441,      -6.738311061
          0,           0,         231,      -5.453650737,      -5.244620531,      -5.870775125,      -4.846861934,      -6.740312356
          0,           0,         232,       -5.45929988,      -5.247943338,      -5.896411405,      -4.854308201,      -6.742205688
          0,           0,         233,      -5.460621837,      -5.250988893,      -5.920831925,      -4.856766843,      -6.743979835
          0,           0,         234,      -5.458105804,      -5.253874752,      -5.943741432,      -4.854724074,      -6.745673749
          0,           0,         235,       -5.45418225,      -5.256703979,      -5.964059841,      -4.850677933,      -6.747294355
          0,           0,         236,      -5.450795667,      -5.259713438,      -5.981502282,      -4.846943862,      -6.748814924
          0,           0,         237,      -5.447393026,      -5.262821921,      -5.995664727,      -4.842918711,      -6.750241905
          0,           0,         238,      -5.445129698,      -5.266126633,      -6.007234638,      -4.839940902,      -6.751637073
          0,           0,         239,      -5.444560789,        -5.2696871,        -6.0166059,      -4.838691218,        -6.7529875
          0,           0,         240,      -5.446219073,      -5.273563922,      -6.024174401,       -4.83978485,       -6.75429288
          0,           0,         241,      -5.450235738,      -5.277817382,      -6.030408825,      -4.843416179,      -6.755560584
          0,           0,         242,      -5.456391581,      -5.282463051,      -6.035844389,      -4.849408307,      -6.756801726
          0,           0,         243,      -5.464078208,      -5.287466274,      -6.041198056,      -4.857153406,      -6.758027149
          0,           0,         244,      -5.472818409,      -5.292781052,      -6.045980565,      -4.866147912,      -6.759224531
          0,           0,         245,      -5.481802836,      -5.298342986,      -6.050119348,      -4.875548553,      -6.760407705
          0,           0,         246,      -5.490450938,      -5.304081009,      -6.054297137,      -4.884761731,      -6.761627685
