"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         232,      -5.708489371,      -3.550620838,      -4.621864729,      -1.769905239
          0,           0,         233,      -5.711195428,       -3.55431641,      -4.625933534,      -1.783736407
          0,           0,         234,      -5.716156952,      -3.560212596,      -4.631019974,      -1.783150616
          0,           0,         235,      -5.719220415,      -3.564181555,      -4.635359942,      -1.797704903
          0,           0,         236,      -5.722570602,      -3.568705141,      -4.639210199,      -1.796907006
          0,           0,         237,      -5.726764471,      -3.573615897,       -4.64452605,      -1.810932244
          0,           0,         238,       -5.73047436,      -3.578402708,      -4.649016268,      -1.811033676
          0,           0,         239,       -5.73308072,      -3.581968176,      -4.653046689,      -1.824701491
          0,           0,         240,      -5.737900786,      -3.587673602,      -4.658135945,      -1.824515776
          0,           0,         241,      -5.740878861,      -3.591515722,      -4.662463712,      -1.838787283
          0,           0,         242,      -5.744102088,      -3.595862178,      -4.666630048,      -1.838198439
          0,           0,         243,      -5.748224448,      -3.600646374,      -4.671952771,      -1.851852941
          0,           0,         244,      -5.751808548,         -3.605253,      -4.676212592,      -1.852127526
          0,           0,         245,      -5.754347003,      -3.608699261,       -4.68013831,      -1.865129588
          0,           0,         246,      -5.759078009,      -3.614242204,      -4.685660099,      -1.864890636
          0,           0,         247,      -5.762004812,      -3.617973873,      -4.690093555,      -1.878577545
          0,           0,         248,      -5.765126316,      -3.622152167,      -4.694007381,      -1.877810472
          0,           0,         249,      -5.769197872,       -3.62683338,      -4.699194113,      -1.890835967
          0,           0,         250,       -5.77270842,      -3.631290744,      -4.703909836,      -1.890681002
          0,           0,         251,      -5.775211753,      -3.634639948,      -4.707926424,      -1.903019242
          0,           0,         252,      -5.779854594,      -3.640034093,      -4.713105532,      -1.902502215
          0,           0,         253,       -5.78275589,      -3.643683812,      -4.717460224,      -1.915448684
          0,           0,         254,       -5.78581871,      -3.647727154,      -4.721734254,      -1.914090305
          0,           0,         255,      -5.789882655,      -3.652347084,      -4.726943729,      -1.926673284
          0,           0,         256,      -5.793330996,       -3.65667843,      -4.731258554,      -1.926038574
          0,           0,         257,      -5.795820976,      -3.659960848,      -4.735201994,      -1.937768265
          0,           0,         258,      -5.800436081,      -3.665262657,      -4.740708756,      -1.936768178
          0,           0,         259,       -5.80333532,      -3.668863136,        -4.7450461,      -1.949411627
          0,           0,         260,      -5.806348847,       -3.67279511,      -4.748939236,      -1.947579811
          0,           0,         261,      -5.810428254,      -3.677393671,       -4.75434781,       -1.95987198
          0,           0,         262,      -5.813840893,      -3.681632797,      -4.758747405,      -1.958907837
          0,           0,         263,      -5.816331659,      -3.684877249,      -4.762580311,      -1.970419125
